Record ID,Company name,Company owner,Phone Number,City,Street Address,Street Address 2,Postal Code,Website URL,Place ID,Revenue Gate URL,Screenshot URL,Scan Status
2780116412,Panhandler's Pizza,Sean MacCourtney,(970) 232-9328,Fort Collins,1220 West Elizabeth Street,,80521,panhandlerspizza.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
2825525861,OTTAVIOS,Mark Kim,+1 805-482-3810,Camarillo,1620 Ventura Boulevard,,93010,ottavio.com,ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E,success
742034984,Bubbalou's | Kirkman Road/Conroy Locations,,4074231212,Altamonte Springs,1049 East Altamonte Drive,,32701,bubbalous.com,ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E,success
6241355536,J.J. Twig's Pizza and Pub | Palatine,Sean MacCourtney,(847) 358-1400,Palatine,150 South Northwest Highway,,60074,jjtwigspalatine.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
1014743918,Best Pizza & Brew,Chris Hubbard,(760) 435-1000,Oceanside,1639 S Coast Hwy,,92054,bestpizzaandbrew.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
2825492094,Transfer Pizzeria Café,Mckay May,(414) 763-0438,Milwaukee,101 West Mitchell Street,,53204,transfermke.com,ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E,success
2825511794,Tony Boloney's,,(732) 657-4488,Atlantic City,300 Oriental Avenue,,8401,tonyboloneys.com,ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E,success
5931773615,Obo Pizza Waldorf Loc,,(301) 710-5444,Saint Charles,162 Smallwood Village Center,,20602,obopizza.com,ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E,success
2825492043,Pizza Parma,Kassidy Farrer,(412) 577-7300,Pittsburgh,823 Penn Avenue,,15222,https://www.pizzaparma.us,ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJg0GCagDVv1QRD4qfTTx581E,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJg0GCagDVv1QRD4qfTTx581E,success
5930433631,Pizza Sam’s,,(989) 631-1934,Midland,102 West Main Street,,48640,pizzasams.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
738863148,Zubs Subs,Dallas Williams,(801) 489-9484,Springville,520 North Main Street,,84663,zubssubs.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
5930490962,Pizza Alley,Ammon Musselman (Deactivated User),+1 303-458-8415,Columbus,10 East 12th Avenue,,43201,pizzaalley.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
5930439245,Palermo's 95th Italian Cuisine,Sean MacCourtney,(708) 425-6262,Oak Lawn,4849 95th Street,,60453,palermos95th.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
6789277589,Connie's Chicken and Waffles | DECO Food Hall,,302) 300-4953,Wilmington,111 W. 10th Street,,21201,connieschickenandwaffles.com,ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/revenue-gate/ChIJKWlj9jKGwFQRUueKgH6MEg8,https://boostly-restaurant-scanner.onrender.com/api/revenue-gate/screenshot/ChIJKWlj9jKGwFQRUueKgH6MEg8,success
